Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST_XH_3P,
J2,Neutrik_NC3FAAH,1,NC3FAAH,C368521
J3,Neutrik_NC3MAAH-0,1,NC3MAAH-0,C368531
